관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자,제공기관코드,제공기관명
11590-00019,토끼,어린이공원,,서울특별시 동작구 사당동 1000-13,37.47817735,126.970241,821.7,,,,,,1977-04-20,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00018,동산,어린이공원,,서울특별시 동작구 사당동 1000,37.47945513,126.9697982,466.1,,,,,,1977-04-20,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00017,꿈돌이,어린이공원,,서울특별시 동작구 사당동 300-26,37.48033513,126.9699916,761,,,,,,1977-04-20,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00016,새싹,어린이공원,,서울특별시 동작구 사당동 316-33,37.479905,126.973124,780,,,,,,1976-10-28,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00015,노루,어린이공원,,서울특별시 동작구 사당동 316-23,37.48182555,126.974225,337,,,,,,1976-10-23,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00014,장미,어린이공원,,서울특별시 동작구 상도동 380-2,37.49366825,126.936031,410.5,,,,,,1975-08-25,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00013,은하수,어린이공원,,서울특별시 동작구 신대방동 492-222외 1,37.494528,126.912513,4726,,,,,,1974-08-29,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00012,까치산,근린공원,서울특별시 동작구 현충로55,서울특별시 동작구 흑석동141-2일대,37.51066813,126.9627656,384026,,,,,,1971-08-06,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00011,까치,어린이공원,서울특별시 동작구 동작대로9길35(사당),서울특별시 동작구 사당동 1028-1,37.48053895,126.979537,1604.3,,,,,,1970-09-03,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00010,삼일,근린공원,,서울특별시 동작구 사당동 산32,37.483419,126.966736,36660,,,,,,1968-05-15,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00009,별님,어린이공원,,서울특별시 동작구 상도4동 211-415,37.498885,126.944953,259,,,,,,1963-04-26,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00008,해님,어린이공원,,서울특별시 동작구 상도1동 424,37.5015852,126.951273,876,,,,,,1963-04-26,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00007,꿈동산,어린이공원,,서울특별시 동작구 상도동 426,37.50336478,126.9543235,613.8,,,,,,1963-04-26,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00006,사육신,역사공원,서울특별시 동작구 노량진로191,서울특별시 동작구 노량진동 155-1,37.51345628,126.9494127,47832,,,,,,1963-04-26,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00005,현충,근린공원,서울특별시 동작구 사당로23길57-7,서울특별시 동작구 사당동 산24-17,37.48538566,126.9757312,1106402.2,,,,,,1962-12-20,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00004,용봉정,근린공원,서울특별시 동작구 현충로2가길17,"서울특별시 동작구 본동 산3-9일대, 흑석동 141-2일대",37.511663,126.958792,80804.2,,,,,,1940-03-12,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00003,노량진,근린공원,,서울특별시 동작구 노량진동 225-291,37.509371,126.943688,413203,,,,,,1940-03-12,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00002,상도,근린공원,서울특별시 동작구 성대로6사길27-18,서울특별시 동작구 상도동 산75,37.49321807,126.9384079,359342.8,,,,,,1940-03-02,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11590-00001,제비,어린이공원,,서울특별시 동작구 대방동 362-11,37.506438,126.925844,1813.9,,,,,,1940-01-15,서울특별시 동작구청,,2026-03-18,3190000,서울특별시 동작구
11260-00020,신  현,어린이공원,,서울특별시 중랑구 상봉동 484-1,37.60347172,127.0897486,1492.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00019,꽃피울,어린이공원,,서울특별시 중랑구 신내동 660-1,37.60842712,127.0940364,1500.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00018,한아름,어린이공원,,서울특별시 중랑구 신내동 656-1,37.61328191,127.0941169,2005.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00017,안  골,어린이공원,,서울특별시 중랑구 신내동 474-33,37.60453182,127.0978631,184,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00048,먹  골,어린이공원,,서울특별시 중랑구 묵동 177-5,37.61153715,127.0790717,1006.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00047,소  망,어린이공원,,서울특별시 중랑구 묵동 240-100,37.61114293,127.0748852,1224.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00046,본  동,어린이공원,,서울특별시 중랑구 중화동 131-20,37.60113637,127.0857752,248,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00045,세  화,어린이공원,,서울특별시 중랑구 중화동 328-14,37.59920895,127.0738061,1147.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00044,배  꽃,어린이공원,,서울특별시 중랑구 중화동 332-48,37.6041874,127.0749772,1396,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00043,초  롱,어린이공원,,서울특별시 중랑구 중화동 323-14,37.5957492,127.0727829,1433.4,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00037,꿈마루,어린이공원,,서울특별시 중랑구 면목동 1543-2,37.58031623,127.093536,1578.6,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00036,이  화,어린이공원,,서울특별시 중랑구 면목동 30-38,37.58701827,127.1003895,215,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00035,한  신,어린이공원,,서울특별시 중랑구 면목동 178-19,37.58816879,127.0769075,995.4,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00034,섬  들,어린이공원,,서울특별시 중랑구 면목동 86-3,37.59148188,127.0925459,1005,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00033,소  파,어린이공원,,서울특별시 중랑구 면목동 42-1,37.58921984,127.0956963,1015.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00059,면목어울소공원,소공원,,서울특별시 중랑구 면목동 1549-1,37.586168,127.096224,446.7,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00058,소담소공원,소공원,,서울특별시 중랑구 면목동 1548-1,37.572832,127.085867,500.2,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00057,꽃가람소공원,소공원,,서울특별시 중랑구 면목동 1544-2,37.581647,127.078936,1261.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00056,빛길소공원,소공원,,서울특별시 중랑구 면목동 1537-1,37.57193391,127.086431,1221.8,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00055,마중소공원,소공원,,서울특별시 중랑구 묵동 396-2,37.614773,127.0824509,854.6,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00054,푸름소공원,소공원,,서울특별시 중랑구 묵동 164-52,37.61531263,127.078096,165.9,,,,,,,서울특별시 중랑구청,02-2094-2364,2026-02-25,3060000,서울특별시 중랑구
11260-00053,묵  동,어린이공원,,서울특별시 중랑구 묵동 396-1,37.61712154,127.0813554,1686.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00052,새  싹,어린이공원,,서울특별시 중랑구 면목동 1545-3,37.58228867,127.083337,6793.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00051,방  죽,어린이공원,,서울특별시 중랑구 망우동 344-11,37.60240392,127.1026933,1002.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00050,갓바위,어린이공원,,서울특별시 중랑구 망우동 155-2,37.59914936,127.1035307,996,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00049,등나무,어린이공원,,서울특별시 중랑구 망우동 492-6,37.59773924,127.0966044,988.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00021,망우동,어린이공원,,서울특별시 중랑구 망우동 583-2,37.60215539,127.1038444,2908.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00042,중화리,어린이공원,,서울특별시 중랑구 중화동 280-16,37.60403621,127.0805855,941.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00041,봉  화,어린이공원,,서울특별시 중랑구 중화동 302-57,37.59827363,127.0773921,824.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00040,상  리,어린이공원,,서울특별시 중랑구 상봉동 136-35,37.59193672,127.0739354,1005.3,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00039,상  봉,어린이공원,,서울특별시 중랑구 상봉동 122-31,37.5931312,127.0824887,1057.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00038,봉  황,어린이공원,,서울특별시 중랑구 상봉동 114-1,37.59505385,127.0844896,1013.6,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00006,구릉공원,근린공원,,서울특별시 중랑구 신내동 234,37.61873149,127.1123335,25600.7,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11260-00005,능산공원,근린공원,,서울특별시 중랑구 신내동 317-2,37.611635,127.0973915,12350.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11260-00004,신내어울공원,근린공원,,서울특별시 중랑구 신내동 315-5,37.61398523,127.0986292,12915.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11260-00002,봉화산근린공원,근린공원,,서울특별시 중랑구 묵동 산 46-19,37.60899267,127.0868214,556451.3,,,,,,,서울특별시 중랑구청,02-2094-2357,2026-02-25,3060000,서울특별시 중랑구
11260-00001,용마산근린공원,근린공원,,서울특별시 중랑구 망우동 산69-1,37.59614533,127.1049026,588871.2,,,,,,,서울특별시 중랑구청,02-2094-2353,2026-02-25,3060000,서울특별시 중랑구
11260-00032,송  계,어린이공원,,서울특별시 중랑구 면목동 173-1,37.58453565,127.0779651,1019.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00031,샘  터,어린이공원,,서울특별시 중랑구 면목동 656,37.57303751,127.0834002,1591.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00030,까  치,어린이공원,,서울특별시 중랑구 면목동 570,37.58350827,127.086969,3231.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00029,햇  살,어린이공원,,서울특별시 중랑구 면목동 137-14,37.5899334,127.0832088,867.4,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00028,남  촌,어린이공원,,서울특별시 중랑구 면목동 110-1,37.58548947,127.0912564,1010.6,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00027,사  랑,어린이공원,,서울특별시 중랑구 면목동 153-6,37.58564763,127.0818678,1009.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00026,열  매,어린이공원,,서울특별시 중랑구 면목동 142-15,37.58857132,127.0809543,1192.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00025,오거리,어린이공원,,서울특별시 중랑구 면목동 351,37.57710827,127.0844469,1357,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00024,겸  재,어린이공원,,서울특별시 중랑구 면목동 70-3,37.58797605,127.093223,975.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00023,양  지,어린이공원,,서울특별시 중랑구 면목동 98-20,37.59020491,127.088887,979.8,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00022,면  목,어린이공원,,서울특별시 중랑구 면목동 127-33,37.58956391,127.0859226,993,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00016,햇  님,어린이공원,,서울특별시 중랑구 망우동 474-11,37.59360721,127.0952679,593,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00015,샛  별,어린이공원,,서울특별시 중랑구 망우동 416-1,37.59339462,127.1008446,950.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00014,달동산,어린이공원,,서울특별시 중랑구 망우동 520-6,37.59221339,127.095187,984.5,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00013,꽃동산,어린이공원,,서울특별시 중랑구 망우동 441-1,37.59124873,127.0991535,1004,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00012,은하수,어린이공원,,서울특별시 중랑구 신내동 650-1,37.6156627,127.0912651,1999.7,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00011,서  당,어린이공원,,서울특별시 중랑구 묵동 20-1,37.61706409,127.0881222,2000.1,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00010,원  묵,어린이공원,,서울특별시 중랑구 묵동 13-1,37.616747,127.084772,1500.9,,,,,,,서울특별시 중랑구청,02-2094-2363,2026-02-25,3060000,서울특별시 중랑구
11260-00009,청남공원,근린공원,,서울특별시 중랑구 신내동 산2-45,37.62011974,127.1104604,223100,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11260-00008,배말공원,근린공원,,서울특별시 중랑구 신내동 819,37.61415177,127.1119491,19887.9,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11260-00007,능말공원,근린공원,,서울특별시 중랑구 신내동 817-4,37.6160163,127.1080257,19098.6,,,,,,,서울특별시 중랑구청,02-2094-2362,2026-02-25,3060000,서울특별시 중랑구
11680-00012,배밭근린공원,근린공원,,서울특별시 강남구 개포동 181,37.48821488,127.0594681,11627.2,운동기구 등,,"파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00011,청룡근린공원,근린공원,,서울특별시 강남구 개포동 649-1,37.48528514,127.0537972,9367,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00010,포이근린공원,근린공원,,서울특별시 강남구 개포동 1239-21,37.47967612,127.0447815,16811.4,운동기구 등,,"음수대, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00009,독골근린공원,근린공원,,서울특별시 강남구 도곡동 461,37.484552,127.0468249,10022.9,운동기구 등,"그네, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00008,늘벗근린공원,근린공원,,서울특별시 강남구 대치동 501,37.48928087,127.0563303,19812.3,"게이트볼장, 농구장, 족구장, 운동기구 등","그네, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00007,대치근린공원,근린공원,,서울특별시 강남구 대치동 512,37.495123,127.0699032,10408.9,"농구장, 운동기구 등","그네, 조합놀이대 등","파고라, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00006,개포동근린공원,근린공원,,서울특별시 강남구 개포동 182-1,37.48970641,127.0682905,9705.6,"농구장, 운동기구 등",,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00005,개포서근린공원,근린공원,,서울특별시 강남구 개포동 180,37.4885944,127.0635583,11219.2,"농구장, 운동기구 등",,"파고라, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00004,늘푸른근린공원,근린공원,,서울특별시 강남구 일원동 690,37.48951135,127.0773393,12067.2,"농구장, 배드민턴장, 운동기구 등","그네, 시소, 조합놀이대 등","파고라, 정자, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00003,대청근린공원,근린공원,,서울특별시 강남구 일원동 621,37.49241615,127.0833736,14089.1,운동기구 등,"그네, 시소, 조합놀이대 등","음수대, 파고라, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00002,신사근린공원,근린공원,,서울특별시 강남구 압구정동 422,37.526708,127.0212651,6800,운동기구 등,,"음수대, 정자, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00017,개포근린공원,근린공원,,서울특별시 강남구 개포동 139,37.4830336,127.063861,90063.9,운동기구 등,모래밭,"파고라, 정자, 장의자 등",개포도서관,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00016,한티근린공원,근린공원,,서울특별시 강남구 대치동 212-1,37.49524119,127.0622107,19200,운동기구 등,,"음수대, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00015,청담근린공원,근린공원,,서울특별시 강남구 청담동 66,37.52152002,127.0522736,59347,"농구장, 배드민턴장, 골프연습장, 운동기구 등",,"파고라, 정자, 장의자 등",,,,,02-3423-6247,2026-01-29,3220000,서울특별시 강남구
11680-00014,청수근린공원,근린공원,,서울특별시 강남구 청담동 134-13,37.523249,127.0584463,17402,운동기구 등,,"음수대, 파고라, 장의자 등",,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00013,학여울근린공원,근린공원,,서울특별시 강남구 개포동 183-1,37.48970641,127.0682905,12505.6,운동기구 등,,"음수대, 파고라, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00048,봉은역사공원,역사공원,,서울특별시 강남구 삼성동 75,37.51391154,127.0554916,75635.7,"테니스장, 배드민턴장, 운동기구 등",,장의자 등,,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
11680-00046,광평공원,근린공원,,서울특별시 강남구 일원동 197-7,37.48651921,127.0921363,10746.9,운동기구 등,,"파고라, 장의자 등",,,,,02-3423-6247,2026-01-29,3220000,서울특별시 강남구
11680-00045,강남세곡체육공원,체육공원,,서울특별시 강남구 세곡동 산1-7,37.46693664,127.1126916,98417,"테니스장, 축구장, 운동기구 등",조합놀이대 등,"음수대, 파고라, 장의자 등",,,,,02-3423-6243,2026-01-29,3220000,서울특별시 강남구
11680-00043,세곡동 근린공원1,근린공원,,서울특별시 강남구 세곡동 525-1,37.46058474,127.1038574,10310.4,운동기구 등,,"정자, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00042,수서택지개발(광평부근),근린공원,,서울특별시 강남구 수서동 737-1,37.48674541,127.0971098,7569.1,,,,,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00041,수서택지개발(대모산부근),근린공원,,서울특별시 강남구 일원동 732-3,37.48093233,127.0805118,11588.6,,,,,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00040,수서제2근린공원,근린공원,,서울특별시 강남구 수서동 749,37.48359088,127.0887929,44587.5,,,"음수대, 장의자 등",,,,,02-3423-6248,2026-01-29,3220000,서울특별시 강남구
11680-00039,새뜰근린공원,근린공원,,서울특별시 강남구 역삼동 765-30,37.49660384,127.0510177,427.6,운동기구 등,,,,,,,02-3423-6244,2026-01-29,3220000,서울특별시 강남구
