개방자치단체코드,관리번호,인허가일자,인허가취소일자,영업상태코드,영업상태명,상세영업상태코드,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,전화번호,소재지면적,소재지우편번호,지번주소,도로명주소,도로명우편번호,사업장명,최종수정일자,데이터갱신구분,데이터갱신일자,업태구분명,좌표정보(X),좌표정보(Y),점포구분명
3100000,2.00231E+18,2002-11-14,          ,2,휴업,2,휴업처리,          ,          ,          ,          ,02-985-9000,10209,          ,서울특별시 노원구 하계동 284호,,     ,세이브존,2007-06-30 10:05,I,2025-12-15 16:15,대형마트,205994.8118,459502.6453,
3100000,2.00731E+18,2007-04-19,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-971-9000,10292,          ,서울특별시 노원구 중계동 506번지 1   호,,     ,건영옴니백화점,2015-03-25 10:23,I,2025-12-15 16:15,백화점,205645.892,459609.0125,대규모점포
3070000,2.01731E+18,2017-04-26,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2006-3215,301.45,          ,,"서울특별시 성북구 보문사길 111 (보문동6가, 보문파크뷰자이)",2874,GS더프레시 성북보문점,2025-05-13 15:52,I,2025-12-15 16:15,구분없음,201562.5718,453092.4347,준대규모점포
3070000,2.01931E+18,2019-06-13,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-912-9110,5022.21,          ,"서울특별시 성북구 길음동 535-8,535-26,540-2,540-7",,     ,길음시장,2019-06-13 8:58,I,2025-12-15 16:15,그 밖의 대규모점포,                    ,                    ,대규모점포
3050000,2.01131E+18,2011-03-15,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-840-3210,5746.45,130-100   ,서울특별시 동대문구 장안동 580번지,서울특별시 동대문구 한천로 42 (장안동),     ,장안위더스빌,2014-10-29 16:21,I,2025-12-15 16:15,그 밖의 대규모점포,205423.9695,451556.2106,대규모점포
3070000,2.01931E+18,2019-05-24,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-926-6405,0,          ,서울특별시 성북구 돈암동 609번지 1호 스카이프라자상가,"서울특별시 성북구 성북로4길 52 (돈암동, 한신한진아파트)",2831,동소문스카이상가,2019-05-24 17:01,I,2025-12-15 16:15,그 밖의 대규모점포,200841.727,454721.5052,대규모점포
3070000,2.01931E+18,2019-05-29,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-912-9110,4612.41,          ,"서울특별시 성북구 길음동 535번지8호, 535번지26호, 540번지2호",,     ,길음시장,2019-05-29 17:30,I,2025-12-15 16:15,그 밖의 대규모점포,                    ,                    ,대규모점포
3010000,2.0173E+18,2017-03-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2290-7125,13006.43,          ,,"서울특별시 중구 마장로 22 (신당동, DDP FASHION MALL)",4566,DDP FASHION MALL,2022-08-18 15:00,I,2026-03-26 22:48,그 밖의 대규모점포,200999.3562,451654.4182,대규모점포
3010000,2.0173E+18,2017-10-31,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2006-3215,276.24,          ,,"서울특별시 중구 만리재로 175, 401동 9,10,11호 (만리동2가)",4500,지에스수퍼마켓 중구만리점,2025-04-14 18:53,I,2026-03-26 22:48,구분없음,196697.1169,450217.0951,준대규모점포
3010000,2.0193E+18,2019-10-17,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2264-8511,3778.41,          ,서울특별시 중구 산림동 207번지 1호 세운청계상가,"서울특별시 중구 청계천로 160, 세운청계상가 (산림동)",4545,청계상가,2019-10-17 16:09,I,2026-03-26 22:48,그 밖의 대규모점포,199521.2008,451751.4241,대규모점포
3020000,2.0043E+18,2004-12-22,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-799-7114,6876.34,          ,서울특별시 용산구 한강로2가 191호,서울특별시 용산구 한강대로 92 (한강로2가),     ,LS Avenue,2012-10-15 9:45,I,2026-05-06 22:48,그 밖의 대규모점포,197099.3815,447328.5488,대규모점포
3020000,2.0053E+18,1993-04-13,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-703-7091,10634.18,          ,서울특별시 용산구 한강로2가 413호,서울특별시 용산구 청파로 113-12 (한강로2가),     ,전자타운,2025-08-12 13:17,I,2026-05-06 22:48,전문점,196775.6399,447984.6345,대규모점포
3040000,2.0013E+18,1980-04-07,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-465-7965,2456.45,          ,서울특별시 광진구 화양동 10번지 1호,서울특별시 광진구 능동로13길 39 (화양동),     ,한아름시장,2023-11-17 10:04,I,2025-12-15 16:15,그 밖의 대규모점포,206107.7752,449029.3422,대규모점포
3000000,2.0053E+18,2005-01-27,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2278-5356,,          ,호,,     ,종로세운상가,2007-07-21 10:27,I,2026-05-06 22:48,대형마트,                    ,                    ,
3240000,2.01332E+18,1982-05-27,          ,1,영업/정상,BBBB,,          ,          ,          ,          ,,0,134-855   ,서울특별시 강동구 암사3동 451번지 16호,,     ,양지종합시장,2013-02-13 10:17,I,2026-05-06 22:47,시장,212082.0142,450348.7936,대규모점포
3050000,2.00531E+18,2005-04-29,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2215-1000,11167.69,130-840   ,서울특별시 동대문구 장안동 368번지 1호,서울특별시 동대문구 답십리로 288 (장안동),     ,(주)형지쇼핑 아트몰링 장안점,2017-11-22 16:23,I,2025-12-15 16:15,그 밖의 대규모점포,206325.3494,452184.2102,대규모점포
3050000,2.00631E+18,2006-04-24,          ,4,취소/말소/만료/정지/중지,4,직권취소,          ,          ,          ,          ,02-3299-4700,0,          ,서울특별시 동대문구 용두동 787호,,     ,건강백화점 동의보감,2014-10-29 14:57,I,2025-12-15 16:15,전문점,203258.3772,452834.0641,대규모점포
3050000,2.00731E+18,2007-05-09,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-907-0135,13762.35,130-864   ,서울특별시 동대문구 제기동 1140번지 5호,서울특별시 동대문구 왕산로 117 (제기동),     ,불로장생타워,2022-02-18 16:30,I,2025-12-15 16:15,전문점,203155.5049,452914.6075,대규모점포
3050000,2.00731E+18,2006-04-24,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,32994700,6986.87,130-723   ,서울특별시 동대문구 용두동 787번지 동의보감타워,,     ,건강백화점 동의보감,2014-10-29 14:53,I,2025-12-15 16:15,전문점,203258.3772,452834.0641,대규모점포
3050000,2.00931E+18,2009-03-20,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,8286.24,130-081   ,서울특별시 동대문구 이문1동 292번지 10호 (주)이문종합상가 이문동웰츠타워,,     ,대규모점포 개설등록,2009-03-20 17:54,I,2025-12-15 16:15,그 밖의 대규모점포,205396.3637,455131.6832,
3050000,2.01031E+18,2010-07-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-3707-2903,40346.6,130-851   ,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),     ,롯데백화점 청량리역사점,2026-04-27 9:13,U,2026-04-28 3:03,복합쇼핑몰,204081.2821,453187.3952,대규모점포
3050000,2.01031E+18,2010-08-11,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-3706-4710,10910.6,130-851   ,서울특별시 동대문구 전농1동 591번지 53호,서울특별시 동대문구 왕산로 214 (전농동),     ,롯데쇼핑(주)롯데마트 청량리점,2026-05-10 15:26,U,2026-05-11 3:03,백화점,204081.2821,453187.3952,대규모점포
3070000,2.02231E+18,2022-04-18,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2006-2678,186.6,          ,서울특별시 성북구 길음동 508-16,"서울특별시 성북구 숭인로8길 80, 롯데캐슬클라시아 상가 101~104호 (길음동)",2730,GS더프레시 성북클라시아점,2025-05-13 15:51,I,2025-12-15 16:15,구분없음,202226.3785,456194.3524,준대규모점포
3050000,2.00031E+18,1971-03-13,          ,3,폐업,3,폐업처리,2007-11-28,          ,          ,          ,02-2245-1333,0,          ,서울특별시 동대문구 장안동 217번지 2호,,     ,장안시장,2007-12-04 15:55,I,2025-12-15 16:15,그 밖의 대규모점포,                    ,                    ,
3040000,2.0013E+18,1980-06-18,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-467-5200,2135.53,          ,서울특별시 광진구 중곡동 229번지 15호,서울특별시 광진구 능동로47길 30 (중곡동),     ,광성시장,2012-01-04 14:42,I,2025-12-15 16:15,그 밖의 대규모점포,207098.9948,451260.4457,대규모점포
3100000,2.00431E+18,2004-02-26,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-933-8517,1615.8,          ,서울특별시 노원구 상계동 1258 희성오피앙,"서울특별시 노원구 동일로 1701 (상계동, 희성오피앙)",1604,오피앙,2024-06-19 14:03,I,2025-12-15 16:15,그 밖의 대규모점포,204772.5006,464208.3054,대규모점포
3090000,2.01131E+18,2011-09-26,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,1095.47,132-042   ,서울특별시 도봉구 창2동 628번지 20호,서울특별시 도봉구 도봉로104길 53 (창동),     ,(주)에브리데이리테일 창동점,2014-09-25 13:41,I,2025-12-15 16:15,구분없음,203027.6271,460124.4184,준대규모점포
3060000,2.00631E+18,2006-10-26,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-437-2080,8128.82,          ,서울특별시 중랑구 면목동 168번지 2호,서울특별시 중랑구 사가정로 332 (면목동),     ,홈플러스(주)면목점,2024-05-22 9:57,I,2025-12-15 16:15,대형마트,207090.8672,453072.936,대규모점포
3060000,2.01131E+18,2001-03-28,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,34232975,4136,131-867   ,서울특별시 중랑구 신내1동 786번지 동성타워프라자,서울특별시 중랑구 봉화산로 221 (신내동),     ,동성타워프라자,2012-11-05 14:23,I,2025-12-15 16:15,복합쇼핑몰,208520.0923,456195.8775,대규모점포
3060000,2.01231E+18,1975-09-09,          ,1,영업/정상,1,정상영업,          ,          ,          ,1975-09-09,02-432-8637,0,131-883   ,서울특별시 중랑구 중화2동 314번지 1호,서울특별시 중랑구 동일로129길 35 (중화동),     ,태능엔터피아 번영회,2012-01-31 13:45,I,2025-12-15 16:15,시장,206771.2173,455221.9895,대규모점포
3060000,2.01331E+18,2013-11-28,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2207-9991,21844.34,          ,,"서울특별시 중랑구 망우로 353-0 (상봉동, 프레미어스 엠코)",     ,이노시티,2024-06-18 15:25,I,2025-12-15 16:15,복합쇼핑몰,207923.7459,455090.7183,대규모점포
3060000,2.02131E+18,2021-11-25,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2290-5704,1150.47,          ,서울특별시 중랑구 신내동 646 금강리빙스텔,"서울특별시 중랑구 신내로 211, 금강리빙스텔 비01호 (신내동)",2024,롯데프레시앤델리 봉화산역점,2026-05-20 11:00,U,2026-05-21 3:03,그 밖의 대규모점포,208112.8602,457113.6384,준대규모점포
3060000,2.02331E+18,2023-04-04,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,151.47,          ,서울특별시 중랑구 망우동 580 중랑숲금호어울림,"서울특별시 중랑구 양원역로 18, 103~106호 (망우동, 중랑숲금호어울림)",2063,GS THE FRESH 중랑망우점,2025-04-16 20:03,I,2025-12-15 16:15,그 밖의 대규모점포,209579.5427,455549.5894,준대규모점포
3080000,2.003E+18,2003-12-09,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,0,142-874   ,서울특별시 강북구 수유동 63번지,서울특별시 강북구 도봉로 261 (수유동),     ,수유프라자,2015-05-19 11:00,I,2026-04-30 22:35,그 밖의 대규모점포,202000.5137,458815.9777,대규모점포
3080000,2.00331E+18,2003-04-25,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-988-1430,9258,          ,서울특별시 강북구 미아동 58호,서울특별시 강북구 도봉로 45 (미아동),     ,숭인시장,2019-03-11 19:22,I,2026-04-30 22:35,그 밖의 대규모점포,202558.5818,456709.9163,대규모점포
3040000,2.0013E+18,1990-11-17,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-454-3916,3625.18,          ,서울특별시 광진구 광장동 484호,서울특별시 광진구 광나루로 635 (광장동),     ,현대종합상가,2012-01-04 16:03,I,2025-12-15 16:15,그 밖의 대규모점포,208644.8192,448711.7258,대규모점포
3020000,2.0083E+18,1987-10-31,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-707-4628,62555.57,140-013   ,서울특별시 용산구 한강로3가 16번지 9호,서울특별시 용산구 청파로 74 (한강로3가),     ,(주)에스와이에스홀딩스,2014-10-24 10:25,I,2026-05-06 22:48,전문점,196370.7464,447841.6988,대규모점포
3030000,2.0143E+18,2014-12-09,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,22079991,13996.64,          ,,서울특별시 성동구 왕십리로 241 (행당동),     ,파크에비뉴 엔터식스 한양대점,2019-09-20 17:52,I,2026-05-07 22:31,복합쇼핑몰,203481.6282,450468.7733,대규모점포
3020000,2.0083E+18,1987-11-10,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-704-3013,11669.19,          ,서울특별시 용산구 한강로3가 1번지 1호 나진상가,"서울특별시 용산구 청파로 109, 나진상가 (한강로3가)",4370,나진산업 주식회사,2022-04-13 10:19,I,2026-05-06 22:48,전문점,196697.0311,447931.1083,대규모점포
3080000,2.00831E+18,2008-07-10,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-903-5546,1698.5,142-870   ,서울특별시 강북구 수유동 405번지 5호,서울특별시 강북구 삼양로91길 11-12 (수유동),     ,수유북부시장,2021-12-20 9:39,I,2026-04-30 22:35,그 밖의 대규모점포,201354.5535,459317.5831,대규모점포
3080000,2.00931E+18,2009-09-10,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,4834.6,142-804   ,서울특별시 강북구 송중동,서울특별시 강북구 도봉로 34 (미아동),     ,트레지오,2022-01-18 13:00,I,2026-04-30 22:35,복합쇼핑몰,202642.446,456636.3082,대규모점포
3080000,2.01131E+18,2011-01-03,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-994-3989,2837,142-073   ,서울특별시 강북구 수유3동 179번지 5호,서울특별시 강북구 한천로148길 12-43 (수유동),     ,강북종합시장,2011-12-19 13:41,I,2026-04-30 22:35,그 밖의 대규모점포,                    ,                    ,대규모점포
3170000,2.01232E+18,2012-09-13,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2109-7013,32887.19,153-801   ,서울특별시 금천구 가산동 60번지 20호,서울특별시 금천구 벚꽃로 266 (가산동),     ,마리오아울렛 3관,2023-02-28 21:05,I,2026-05-07 22:30,쇼핑센터,189759.7131,441814.1159,대규모점포
3020000,2.0083E+18,1988-06-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-702-3411,8382.6,140-113   ,서울특별시 용산구 원효로3가 51번지 30호,서울특별시 용산구 청파로 77 (원효로3가),     ,원효전자상가,2013-03-21 9:39,I,2026-05-06 22:48,전문점,196385.232,447938.1925,대규모점포
3010000,2.0143E+18,2000-07-07,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2256-3500,5268.33,          ,,서울특별시 중구 다산로 32 (신당동),     ,남산타운2상가,2016-04-10 18:30,I,2026-03-26 22:48,그 밖의 대규모점포,200750.4551,449638.8243,대규모점포
3220000,2.00132E+18,1997-05-24,          ,3,폐업,3,폐업처리,2009-09-22,          ,          ,          ,02-3413-5119,0,          ,서울특별시 강남구 개포동 13번지 3 호,,     ,미씨-860,2010-08-24 9:23,I,2025-12-15 16:15,그 밖의 대규모점포,206970.9193,443574.4116,
3080000,2.01131E+18,2011-01-24,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-902-1683,2736.8,142-061   ,서울특별시 강북구 번1동 413번지 3호,서울특별시 강북구 한천로123길 26 (번동),     ,강북 북부시장,2024-03-20 21:36,I,2026-04-30 22:35,그 밖의 대규모점포,202608.9341,459320.0308,대규모점포
3080000,2.01131E+18,2011-08-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,69338701,490,142-100   ,서울특별시 강북구 미아동 1357번지 6호,서울특별시 강북구 삼양로27길 35-21 (미아동),     ,㈜지에스리테일 GS수퍼 강북미아점,2025-05-23 12:05,I,2026-04-30 22:35,구분없음,201602.5775,457290.1007,준대규모점포
3040000,2.0013E+18,1992-11-05,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-454-7529,1707.82,          ,서울특별시 광진구 구의동 611호,서울특별시 광진구 광나루로56길 34 (구의동),     ,구의현대종합상가,2021-08-19 10:13,I,2025-12-15 16:15,그 밖의 대규모점포,208403.7461,448490.2392,대규모점포
3040000,2.0013E+18,1998-03-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-3424-0323,49840,          ,서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동),     ,테크노-마트21,2018-09-06 15:42,I,2025-12-15 16:15,그 밖의 대규모점포,208394.4164,448165.28,대규모점포
3040000,2.0013E+18,1998-03-23,          ,1,영업/정상,1,정상영업,          ,          ,          ,2004-04-30,02-3424-2500,4122,          ,서울특별시 광진구 구의동 546번지 4호,서울특별시 광진구 광나루로56길 85 (구의동),     ,롯데쇼핑(주)롯데마트 강변점,2026-04-29 16:45,U,2026-04-30 3:03,대형마트,208394.4164,448165.28,대규모점포
3040000,2.0063E+18,2006-02-28,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-3436-0005,3004.13,          ,서울특별시 광진구 자양동 663번지 21  호,서울특별시 광진구 자양로5길 33 (자양동),     ,프라젠 스파,2013-12-26 14:29,I,2025-12-15 16:15,그 밖의 대규모점포,207368.6245,447632.296,대규모점포
3040000,2.0063E+18,2006-12-14,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-6742-1234,11320.4,          ,서울특별시 광진구 자양동 227번지 7호,서울특별시 광진구 아차산로 272 (자양동),     ,(주)이마트 자양점,2025-04-01 10:12,I,2025-12-15 16:15,대형마트,206349.675,448396.9397,대규모점포
3040000,2.0083E+18,2008-08-22,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2218-2995,26203.17,143-003   ,서울특별시 광진구 자양동 227번지 342호 롯데백화점 스타시티점,서울특별시 광진구 능동로 92 (자양동),     ,롯데백화점 건대스타시티점,2026-04-15 17:23,U,2026-04-16 3:03,백화점,206217.4347,448506.2187,대규모점포
3040000,2.0083E+18,2008-09-03,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-466-6767,3741.82,143-150   ,서울특별시 광진구 군자동 503번지,서울특별시 광진구 광나루로 369 (군자동),     ,파크에비뉴,2012-01-04 11:10,I,2025-12-15 16:15,그 밖의 대규모점포,206212.2443,449577.1749,대규모점포
3040000,2.0123E+18,2012-03-06,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-447-8545,274.4,143-898   ,서울특별시 광진구 중곡2동 157번지 1호,서울특별시 광진구 능동로 314 (중곡동),     ,홈플러스(주)익스프레스 중곡점,2024-04-11 17:28,I,2025-12-15 16:15,구분없음,207001.8723,450597.6149,준대규모점포
3020000,2.0083E+18,1985-11-12,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-795-7501,3327.67,140-026   ,서울특별시 용산구 용산동6가 69번지 167호,서울특별시 용산구 이촌로 352 (용산동6가),     ,신동아 쇼핑센터,2008-04-29 21:27,I,2026-05-06 22:48,쇼핑센터,198622.8926,446114.1552,
3230000,2.01432E+18,2010-10-25,          ,3,폐업,3,폐업처리,2017-03-08,          ,          ,          ,02-2138-8841,593.5,          ,,서울특별시 송파구 석촌호수로 156 (삼전동),     ,(주)지에스리테일 삼전점,2017-03-10 17:21,I,2025-12-15 16:15,구분없음,208265.8291,444957.4634,준대규모점포
3080000,2.01131E+18,2011-09-09,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-0944-1510,8319.26,142-100   ,서울특별시 강북구 미아동 1359번지,서울특별시 강북구 삼양로 247 (미아동),     ,롯데쇼핑(주) 롯데마트 삼양점,2026-05-14 13:22,U,2026-05-15 3:03,복합쇼핑몰,201494.6273,458136.3423,대규모점포
3090000,2.01231E+18,2012-01-05,          ,1,영업/정상,1,정상영업,          ,          ,          ,2012-01-05,,784.04,132-042   ,서울특별시 도봉구 창2동 628번지 20호,서울특별시 도봉구 도봉로104길 53 (창동),     ,(주)에브리데이리테일 창동점,2014-10-17 15:07,I,2025-12-15 16:15,구분없음,203027.6271,460124.4184,준대규모점포
3090000,2.01231E+18,2012-03-15,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,705.1,132-032   ,서울특별시 도봉구 쌍문2동 19번지,서울특별시 도봉구 도당로 10 (쌍문동),     ,롯데슈퍼 쌍문점,2026-04-24 11:17,U,2026-04-25 3:03,복합쇼핑몰,203048.6693,461867.6479,준대규모점포
3090000,2.01231E+18,2012-03-18,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,,197.7,132-041   ,서울특별시 도봉구 창1동 651번지 36호,서울특별시 도봉구 도봉로110길 65 (창동),     ,롯데프레쉬 창동점,2023-05-04 9:18,I,2025-12-15 16:15,구분없음,203207.6253,460455.8376,준대규모점포
3000000,2.0043E+18,2004-12-10,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2279-8751,11750,          ,서울특별시 종로구 종로6가 270번지 3호 동대문종합시장D동상가,"서울특별시 종로구 종로 266, 동대문종합시장D동상가  동 (종로6가)",3198,동대문종합시장D동상가,2025-09-03 9:58,I,2026-05-06 22:48,그 밖의 대규모점포,200579.4098,452035.3477,대규모점포
3010000,1.9643E+18,1964-10-13,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-753-2805,53845.06,100-060   ,서울특별시 중구 남창동 49번지,서울특별시 중구 남대문시장4길 21 (남창동),     ,서울남대문시장,2024-11-19 9:51,I,2026-03-26 22:48,그 밖의 대규모점포,197982.9966,450791.0739,대규모점포
3010000,1.9703E+18,1970-01-29,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2269-1967,15144,          ,,"서울특별시 중구 청계천로 260-9 (을지로6가, 통일의류종합상가)",4563,통일상가,2024-04-03 17:07,I,2026-03-26 22:48,그 밖의 대규모점포,200530.3601,451852.1495,대규모점포
3010000,1.9713E+18,1971-12-30,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2269-9891,10269.89,          ,서울특별시 중구 충무로4가 120번지 3   호,서울특별시 중구 퇴계로 217 (충무로4가),     ,진양상가,2016-04-10 15:47,I,2026-03-26 22:48,그 밖의 대규모점포,199571.5995,451124.8514,대규모점포
3140000,2.02631E+18,2026-03-03,          ,1,영업/정상,1,정상영업,          ,          ,          ,          ,02-2654-9072,297,          ,서울특별시 양천구 신정동 1278 목동삼성아파트,"서울특별시 양천구 신목로 7, 상가동 지하1층 101~104호 (신정동, 목동삼성아파트)",8016,GS THE FRESH 목동신목점,2026-03-06 10:17,I,2026-03-07 22:18,구분없음,189000.486,445955.9444,준대규모점포
