역사명,노선명,역위도,역경도,역사도로명주소
서울지방병무청,수도권 경량도시철도 신림선,37.50604687,126.922783404,서울특별시 동작구 여의대방로 지하218 (대방동)
서원,수도권 경량도시철도 신림선,37.47827336,126.933228219,서울특별시 관악구 신림로 258 (신림동)
서초,2호선,37.49191,127.007685,서울특별시 서초구 서초대로 지하233(서초동)
석계역,경원선,37.615206,127.065594,서울시 노원구 화랑로 341(월계동 36-4)
석계,6호선,37.614937,127.065922,서울특별시 노원구 화랑로 지하 347-1(월계동) 
석촌,8호선,37.505396,127.106995,서울특별시 송파구 송파대로 지하439(석촌동)
석촌,수도권  도시철도 9호선,37.505078,127.106944,서울특별시 송파구 석촌동 209
석촌고분,수도권  도시철도 9호선,37.502439,127.096611,서울특별시 송파구 삼학사로 지하 53 
선릉,2호선,37.504257,127.048174,서울특별시 강남구 테헤란로 지하340(삼성동)
선릉역,분당선,37.504479,127.048941,서울시 강남구 테헤란로 지하 340
선유도,서울 도시철도 9호선,37.537778,126.893889,서울특별시 영등포구 양평로 지하124
선정릉,수도권  도시철도 9호선,37.51028,127.0437593,서울특별시 강남구 선릉로 580
선정릉역,분당선,37.510775,127.043717,서울시 강남구 선릉로 지하 580(삼성동)
성수,2호선,37.544628,127.055983,서울특별시 성동구 아차산로 100(성수동2가)
성신여대입구,우이신설선,37.59247,127.01656,서울특별시 성북구 동선동1가 116-1
성신여대입구(돈암),4호선,37.592882,127.016908,서울특별시 성북구 동소문로 지하102(동선동4가)
솔밭공원,우이신설선,37.65607,127.01326,서울특별시 강북구 삼양로 595
솔샘,우이신설선,37.62037,127.01357,서울특별시 강북구 솔샘로 지하 189
송정,5호선,37.561201,126.812052,서울특별시 강서구 공항대로 지하33(공항동)
송파,8호선,37.49978,127.11212,서울특별시 송파구 송파대로 지하354(가락동)
송파나루,수도권  도시철도 9호선,37.51055,127.112451,서울특별시 송파구 백제고분로 지하 446
수락산,7호선,37.677804,127.055314,서울특별시 노원구 동일로 지하1662(상계동)
수색역,경의중앙선,37.580855,126.895681,서울시 은평구 수색로 261-1
수서,3호선,37.4875,127.101924,서울특별시 강남구 광평로 지하270(수서동)
수서역,분당선,37.487633,127.101118,서울시 강남구 광평로 지하 270(수서동)
수유(강북구청),4호선,37.637727,127.025371,서울특별시 강북구 도봉로 지하338(수유동)
숙대입구(갈월),4호선,37.5447834,126.9721,서울특별시 용산구 한강대로 지하306(갈월동)
숭실대입구(살피재),7호선,37.496258,126.953649,서울특별시 동작구 상도로 지하378(상도동)
시청,1호선,37.565211,126.977207,서울특별시 중구 세종대로 지하101(정동)
시청,2호선,37.563534,126.975271,서울특별시 중구 서소문로 지하127(서소문동)
신금호,5호선,37.554504,127.020403,서울특별시 성동구 금호로 지하154(금호동2가)
신길역,경부선,37.517018,126.917743,서울시 영등포구 영등포로 327
신길,5호선,37.51763,126.914886,서울특별시 영등포구 경인로114가길 지하9(영등포동1가)
신내,6호선,37.612571,127.104326,서울특별시 중랑구 용마산로136길 33 신내차량기지
신내역,경춘선,37.612855,127.103277,서울시 중랑구 망우동 320-2
신논현,서울 도시철도 9호선,37.504444,127.024417,서울특별시 강남구 봉은사로 지하102
신논현,신분당선,37.50405543,127.0247306,서울특별시 강남구 강남대로 302-2
신답,2호선,37.569847,127.047048,서울특별시 성동구 천호대로 232(용답동)
신당,2호선,37.565675,127.0194259,서울특별시 중구 퇴계로 지하431-1(신당동)
신당,6호선,37.566174,127.016158,서울특별시 중구 다산로 지하260(흥인동)
신대방,2호선,37.487604,126.913479,서울특별시 동작구 대림로 2(신대방동)
신대방삼거리,7호선,37.499717,126.928218,서울특별시 동작구 상도로 지하76(대방동)
신도림역,경부선,37.508983,126.891513,서울시 구로구 새말로 117-21
신도림,2호선,37.508815,126.891222,서울특별시 구로구 새말로 지하 117-21(신도림동)
신림,2호선,37.484216,126.929573,서울특별시 관악구 남부순환로 지하1614(신림동)
신림,수도권 경량도시철도 신림선,37.484890755,126.92960992,서울특별시 관악구 남부순환로 지하1614 (신림동)
신목동,서울 도시철도 9호선,37.544167,126.883056,서울특별시 양천구 목동중앙로 지하217
신반포,서울 도시철도 9호선,37.5035033,126.996044,서울특별시 서초구 신반포로 지하105
신방화,서울 도시철도 9호선,37.5675,126.816667,서울특별시 강서구 방화대로 지하301
신사,3호선,37.516438,127.020247,서울특별시 강남구 도산대로 지하102(신사동)
신사,신분당선,37.51612526,127.0195609,서울특별시 강남구 강남대로 620-2
신설동,1호선,37.576117,127.02471,서울특별시 동대문구 왕산로 지하1(신설동)
신설동,2호선,37.574653,127.025158,서울특별시 동대문구 왕산로 지하 1(신설동)
신설동,우이신설선,37.57659,127.023221,서울특별시 동대문구 신설동 132-259
신용산,4호선,37.52909,126.96788,서울특별시 용산구 한강대로 지하112(한강로2가)
신이문역,경원선,37.601829,127.067347,서울시 동대문구 한천로 472(이문로 7)
신정(은행정),5호선,37.525001,126.856176,서울특별시 양천구 오목로 지하179(신정동)
신정네거리,2호선,37.520218,126.852849,서울특별시 양천구 중앙로 지하261(신정동)
신촌(지하),2호선,37.555153,126.93689,서울특별시 마포구 신촌로 지하90(노고산동)
신촌역,경의중앙선,37.559768,126.942308,서울특별시 서대문구 신촌역로 30 신촌민자역사
신풍,7호선,37.500107,126.909806,서울특별시 영등포구 신풍로 지하27(신길동)
쌍문,4호선,37.648274,127.034381,서울특별시 도봉구 도봉로 지하 486-1(창동)
아차산(어린이대공원후문),5호선,37.552005,127.089609,서울특별시 광진구 천호대로 지하657(능동)
아현,2호선,37.557407,126.956079,서울특별시 마포구 신촌로 지하270(아현동)
안국,3호선,37.576562,126.98547,서울특별시 종로구 율곡로 지하62(안국동)
안암(고대병원앞),6호선,37.586261,127.02903,서울특별시 성북구 고려대로 지하89(안암동5가)
암사,8호선,37.550127,127.127521,서울특별시 강동구 올림픽로 지하776(암사동)
암사역사공원,8호선,37.557167,127.137556,서울시 강동구 아리수로 27번길 2
압구정,3호선,37.526169,127.028502,서울특별시 강남구 압구정로 지하172(신사동)
압구정로데오역,분당선,37.527385,127.040555,서울시 강남구 압구정동 495(강남구 압구정로 지하 402)
애오개,5호선,37.553592,126.956733,서울특별시 마포구 마포대로 지하210(아현동)
약수,3호선,37.554554,127.010858,서울특별시 중구 다산로 지하122(신당동)
약수,6호선,37.554087,127.010237,서울특별시 중구 다산로 지하115(신당동)
양원역,경의중앙선,36.963729,129.091321,서울시 중랑구 송림길 147(망우동)
양재(서초구청),3호선,37.48458,127.03423,서울특별시 서초구 남부순환로 지하2585(서초동)
양재(서초구청),신분당선,37.48445352,127.0340995,서울시 서초구 남부순환로 지하 2585
양재시민의숲(매헌),신분당선,37.47096388,127.0384203,서울특별시 서초구 매헌로 지하 116
양천구청,2호선,37.5123294,126.865593,서울특별시 양천구 목동로3길 지하33(신정동)
양천향교,서울 도시철도 9호선,37.568333,126.841389,서울특별시 강서구 양천로 지하341
양평,5호선,37.525614,126.886177,서울특별시 영등포구 양산로 지하21(양평동2가)
어린이대공원(세종대),7호선,37.547962,127.07465,서울특별시 광진구 능동로 지하210(화양동)
언주,수도권  도시철도 9호선,37.507287,127.033868,서울특별시 강남구 봉은사로 201
여의나루,5호선,37.527045,126.932807,서울특별시 영등포구 여의동로 지하343(여의도동)
여의도,5호선,37.521678,126.924318,서울특별시 영등포구 여의나루로 지하40(여의도동)
여의도,서울 도시철도 9호선,37.521744,126.924167,서울특별시 영등포구 의사당대로 지하101 (여의도동)
역삼,2호선,37.500658,127.03643,서울특별시 강남구 테헤란로 지하156(역삼동)
역촌,6호선,37.60605,126.922764,서울특별시 은평구 서오릉로 지하63(녹번동)
연신내,3호선,37.619295,126.920959,서울특별시 은평구 통일로 지하849(갈현동)
연신내,6호선,37.618483,126.920403,서울특별시 은평구 통일로 지하849(갈현동)
염창,서울 도시철도 9호선,37.546944,126.874722,서울특별시 강서구 공항대로 지하631
영등포역,경부선,37.515756,126.907411,서울시 영등포구 경인로 846(영등포동 1가 618-496)
영등포구청,2호선,37.525766,126.896627,서울특별시 영등포구 당산로 지하121(당산동3가)
영등포구청,5호선,37.524209,126.895022,서울특별시 영등포구 양산로 지하116(당산동3가)
영등포시장,5호선,37.52276,126.905143,서울특별시 영등포구 양산로 지하200(영등포동5가)
오금,3호선,37.502288,127.128344,서울특별시 송파구 오금로 지하321(오금동)
오금,5호선,37.502228,127.127701,서울특별시 송파구 오금로 지하321(오금동)
오류동역,경인선,37.4944,126.844551,서울시 구로구 경인로 20길 13
오목교(목동운동장앞),5호선,37.524557,126.875049,서울특별시 양천구 오목로 지하342(목동)
옥수,3호선,37.541653,127.017303,서울특별시 성동구 동호로 21(옥수동)
옥수역,경원선,37.540514,127.018698,서울시 성동구 동호로 지하21(옥수동)
온수역,경인선,37.492267,126.823399,서울시 구로구 부일로 872
온수(성공회대입구),7호선,37.492059,126.823294,서울특별시 구로구 경인로3길 지하64(온수동)
올림픽공원(한국체대),5호선,37.516217,127.130957,서울특별시 송파구 양재대로 지하1233(방이동)
올림픽공원(한국체대),수도권  도시철도 9호선,37.516111,127.130333,서울특별시 송파구 양재대로 지하 1233
왕십리(성동구청),2호선,37.561289,127.0370615,서울특별시 성동구 왕십리로 지하300(행당동)
왕십리(성동구청),5호선,37.56197,127.037264,서울특별시 성동구 왕십리로 지하300(행당동)
왕십리역,분당선,37.5610128,127.038705,서울시 성동구 왕십리 광장로 17(행당동)
왕십리역,경원선,37.561728,127.038405,서울시 성동구 왕십리 광장로 17(행당동)
외대앞역,경원선,37.596157,127.063572,서울시 동대문구 휘경로 27(이문동 360-5)
용답,2호선,37.562066,127.05087863,서울특별시 성동구 용답길 86(용답동)
용두(동대문구청),2호선,37.574012,127.03811,서울특별시 동대문구 천호대로 지하129(용두동)
용마산(용마폭포공원),7호선,37.573752,127.086802,서울특별시 중랑구 용마산로 지하227(면목동)
용산역,경부선,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999)
용산역,경원선,37.52989,126.964775,서울시 용산구 한강대로 23길 55(한강로 3가 40-999)
